epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,37497.3,1.33889,0.56241,0.93395,0.71029,0.56825,0.61038,0.38246,1.31721,0.55824,0.93202,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37912.9,1.3347,0.5588,0.9335,0.71453,0.56501,0.60927,0.3813,1.31816,0.55882,0.93226,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38328.7,1.3298,0.55489,0.93098,0.71054,0.55975,0.60782,0.38084,1.31899,0.5592,0.93227,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38745.4,1.32598,0.55057,0.92997,0.7163,0.55826,0.60847,0.38036,1.32003,0.56,0.93252,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39163.7,1.32235,0.54794,0.92989,0.71994,0.55459,0.60701,0.37972,1.32091,0.5604,0.93275,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39577.4,1.3179,0.54449,0.92862,0.7254,0.55104,0.60583,0.37915,1.32187,0.56084,0.933,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39994.7,1.31441,0.54039,0.927,0.72687,0.54991,0.6046,0.37924,1.32339,0.56144,0.93338,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40409.5,1.30953,0.53616,0.92617,0.72224,0.54866,0.60474,0.37837,1.32402,0.5622,0.93352,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40823.9,1.30565,0.5325,0.92442,0.73539,0.54504,0.60393,0.37744,1.32502,0.56269,0.93367,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41240.9,1.30075,0.52927,0.92214,0.72901,0.54385,0.60316,0.37486,1.32675,0.56372,0.934,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41656.4,1.29741,0.52562,0.92198,0.72779,0.54198,0.60229,0.37404,1.32783,0.56407,0.93422,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,42071.3,1.29307,0.52288,0.92122,0.72728,0.53902,0.60132,0.37368,1.32892,0.56467,0.93445,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
