arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,day_snowy,bike,mAP50-95,0.09619,422,53,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,bike,mAP50,0.22581,422,53,False,2026-09-12T10:24:16.975555+00:00
base_10,day_snowy,bike,mAP75,0.0473,422,53,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,all,mAP50-95,0.25106,13,144,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,all,mAP50,0.63957,13,144,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,all,mAP75,0.19998,13,144,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,car,mAP50-95,0.40652,13,138,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,car,mAP50,0.6998,13,138,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,car,mAP75,0.39203,13,138,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,truck,mAP50-95,0.14664,13,5,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,truck,mAP50,0.21892,13,5,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,truck,mAP75,0.20792,13,5,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bus,mAP50-95,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bus,mAP50,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bus,mAP75,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,motor,mAP50-95,0.2,13,1,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,motor,mAP50,1.0,13,1,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,motor,mAP75,0.0,13,1,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bike,mAP50-95,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bike,mAP50,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,foggy,bike,mAP75,,13,0,False,2026-09-12T10:24:16.975555+00:00
base_10,night,all,mAP50-95,0.26509,3863,36751,True,2026-09-12T10:24:16.975555+00:00
base_10,night,all,mAP50,0.44231,3863,36751,True,2026-09-12T10:24:16.975555+00:00
base_10,night,all,mAP75,0.26611,3863,36751,True,2026-09-12T10:24:16.975555+00:00
base_10,night,car,mAP50-95,0.39915,3863,35439,True,2026-09-12T10:24:16.975555+00:00
base_10,night,car,mAP50,0.72604,3863,35439,True,2026-09-12T10:24:16.975555+00:00
base_10,night,car,mAP75,0.37422,3863,35439,True,2026-09-12T10:24:16.975555+00:00
base_10,night,truck,mAP50-95,0.32328,3863,736,False,2026-09-12T10:24:16.975555+00:00
base_10,night,truck,mAP50,0.4676,3863,736,False,2026-09-12T10:24:16.975555+00:00
base_10,night,truck,mAP75,0.36252,3863,736,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bus,mAP50-95,0.36504,3863,297,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bus,mAP50,0.47924,3863,297,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bus,mAP75,0.42261,3863,297,False,2026-09-12T10:24:16.975555+00:00
base_10,night,motor,mAP50-95,0.09215,3863,93,False,2026-09-12T10:24:16.975555+00:00
base_10,night,motor,mAP50,0.20453,3863,93,False,2026-09-12T10:24:16.975555+00:00
base_10,night,motor,mAP75,0.07785,3863,93,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bike,mAP50-95,0.14584,3863,186,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bike,mAP50,0.33416,3863,186,False,2026-09-12T10:24:16.975555+00:00
base_10,night,bike,mAP75,0.09336,3863,186,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,all,mAP50-95,0.28131,566,4986,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,all,mAP50,0.44619,566,4986,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,all,mAP75,0.28038,566,4986,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,car,mAP50-95,0.409,566,4743,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,car,mAP50,0.72449,566,4743,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,car,mAP75,0.39474,566,4743,True,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,truck,mAP50-95,0.29405,566,156,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,truck,mAP50,0.43955,566,156,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,truck,mAP75,0.325,566,156,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bus,mAP50-95,0.44626,566,41,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bus,mAP50,0.56752,566,41,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bus,mAP75,0.51711,566,41,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,motor,mAP50-95,0.163,566,12,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,motor,mAP50,0.28659,566,12,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,motor,mAP75,0.11386,566,12,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bike,mAP50-95,0.09424,566,34,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bike,mAP50,0.21279,566,34,False,2026-09-12T10:24:16.975555+00:00
base_10,night_adverse,bike,mAP75,0.05118,566,34,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,all,mAP50-95,0.26303,3274,31550,True,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,all,mAP50,0.44421,3274,31550,True,2026-09-12T10:24:16.975555+00:00
